t,v1,v2,v3,v4
16.403,0.586125,0.5855,0.58525,1.759125
16.447,0.585875,0.585125,0.584625,1.684375
16.491,0.586125,0.585375,0.58525,1.711
16.537,0.58625,0.58475,0.585375,1.767375
16.581,0.58625,0.58525,0.58475,1.4745
16.625,0.58575,0.586125,0.588375,2.572125
16.669,0.58675,0.588,0.58325,1.47225
16.713,0.58525,0.585125,0.58475,1.29175
16.757,0.585625,0.585125,0.584625,1.030125
16.801,0.585625,0.585375,0.585375,1.381
16.845,0.585875,0.5855,0.585375,1.73
16.889,0.586,0.585375,0.585,1.704
16.933,0.58625,0.585,0.58525,1.7705
16.977,0.58625,0.584875,0.58475,1.74475
17.021,0.585875,0.58525,0.58475,1.81475
17.065,0.58625,0.58475,0.585625,3.113
17.109,0.587625,0.585875,0.584125,1.554125
17.152,0.586125,0.585,0.585,1.417
17.196,0.586125,0.584625,0.5845,1.17475
17.241,0.586,0.584875,0.58475,1.214625
17.284,0.586,0.5855,0.585625,1.644875
17.328,0.585875,0.5855,0.58525,1.734625
17.372,0.586,0.585,0.584625,1.703125
17.416,0.58625,0.585125,0.58475,1.75275
17.46,0.58575,0.58525,0.585,1.7945
17.504,0.585875,0.585125,0.584875,1.318875
17.548,0.586,0.585875,0.58675,2.161375
17.592,0.585875,0.585375,0.583,1.493625
17.636,0.5865,0.585,0.584625,1.32175
17.68,0.585875,0.58475,0.584625,1.123125
17.724,0.58575,0.58525,0.58525,1.418875
17.768,0.58575,0.5855,0.5855,1.6785
17.811,0.586125,0.585125,0.58525,1.66575
17.855,0.586375,0.585125,0.585,1.697125
17.899,0.58625,0.58525,0.584625,1.64575
17.943,0.586125,0.585375,0.584875,1.731375
17.987,0.586125,0.584625,0.58475,2.530375
18.031,0.58725,0.585375,0.584625,1.548875
18.075,0.585875,0.584875,0.584875,1.473375
18.119,0.585875,0.585,0.5845,1.27
18.163,0.585875,0.585,0.584375,1.275875
18.207,0.585875,0.5855,0.58525,1.547875
18.251,0.586125,0.58525,0.585375,1.672
18.295,0.586,0.584625,0.585125,1.66475
18.339,0.586,0.584875,0.585125,1.6945
18.382,0.586125,0.585,0.584375,1.5905
18.426,0.58625,0.5855,0.584875,1.7675
18.47,0.586,0.585125,0.586625,2.745875
18.514,0.58675,0.5845,0.583375,1.661375
18.566,0.585625,0.585875,0.584375,1.494875
18.609,0.58625,0.585375,0.58475,1.32775
18.653,0.586125,0.585125,0.585125,1.427125
18.697,0.586,0.58525,0.5855,1.60375
18.741,0.586125,0.5855,0.585125,1.5945
18.785,0.586,0.5855,0.585125,1.589375
18.829,0.586,0.584875,0.585,1.6125
18.873,0.586125,0.584875,0.585125,1.681125
18.917,0.586125,0.585,0.58475,1.266375
18.961,0.586,0.585875,0.58675,2.130625
19.005,0.58575,0.58475,0.583375,1.460625
19.049,0.58625,0.585375,0.584875,1.334625
19.093,0.58575,0.585,0.584625,1.16925
19.137,0.58625,0.585,0.585125,1.332875
19.181,0.585875,0.5855,0.585375,1.589375
19.224,0.586,0.585,0.584625,1.637375
19.268,0.586125,0.585,0.58475,1.6965
19.312,0.586125,0.58525,0.5855,1.682875
19.356,0.586375,0.585125,0.585,1.8025
19.4,0.586125,0.584625,0.583625,1.48425
19.444,0.58675,0.586375,0.586125,1.856625
19.488,0.58675,0.584375,0.58475,1.5605
19.532,0.586125,0.58475,0.584875,1.339125
19.576,0.586,0.584875,0.584625,1.19225
19.62,0.586125,0.5855,0.585375,1.596125
19.664,0.585625,0.58525,0.58525,1.818125
19.708,0.586125,0.585375,0.58475,1.7385
19.752,0.586375,0.585125,0.58525,1.808875
19.795,0.586375,0.58475,0.585125,1.848375
19.84,0.586375,0.585375,0.585,1.859375
