Time (s) Z (um)	Deflection (V)
0.4736	-1.393	-0.852992
0.47436	-1.3943	-0.846889
0.47512	-1.3956	-0.848109
0.47588	-1.3969	-0.855434
0.47664	-1.3982	-0.855739
0.4774	-1.3995	-0.855434
0.47816	-1.4008	-0.852687
0.47892	-1.4021	-0.854213
0.47968	-1.4034	-0.853908
0.48044	-1.4047	-0.84872
0.4812	-1.406	-0.846278
0.48196	-1.4073	-0.850856
0.48272	-1.4086	-0.852687
0.48348	-1.4099	-0.850856
0.48424	-1.4112	-0.847804
0.485	-1.4125	-0.848109
0.48576	-1.4138	-0.846583
0.48652	-1.4151	-0.847499
0.48728	-1.4164	-0.853908
0.48804	-1.4177	-0.850551
0.4888	-1.419	-0.846889
0.48956	-1.4203	-0.845363
0.49032	-1.4216	-0.847804
0.49108	-1.4229	-0.839869
0.49184	-1.4242	-0.844142
0.4926	-1.4255	-0.845363
0.49336	-1.4268	-0.842311
0.49412	-1.4281	-0.838954
0.49488	-1.4294	-0.841395
0.49564	-1.4307	-0.842006
0.4964	-1.432	-0.842311
0.49716	-1.4333	-0.842311
0.49792	-1.4346	-0.844447
0.49868	-1.4359	-0.842921
0.49944	-1.4372	-0.842616
0.5002	-1.4385	-0.84872
0.50096	-1.4398	-0.847194
0.50172	-1.4411	-0.84109
0.50248	-1.4424	-0.8417
0.50324	-1.4437	-0.8417
0.504	-1.445	-0.843837
0.50476	-1.4463	-0.84872
0.50552	-1.4476	-0.844142
0.50628	-1.4489	-0.842311
0.50704	-1.4502	-0.836512
0.5078	-1.4515	-0.839259
0.50856	-1.4528	-0.836818
0.50932	-1.4541	-0.835902
0.51008	-1.4554	-0.8417
0.51084	-1.4567	-0.837123
0.5116	-1.458	-0.839869
0.51236	-1.4593	-0.837428
0.51312	-1.4606	-0.836512
0.51388	-1.4619	-0.84048
0.51464	-1.4632	-0.838343
0.5154	-1.4645	-0.839259
0.51616	-1.4658	-0.833766
0.51692	-1.4671	-0.837123
0.51768	-1.4684	-0.836512
0.51844	-1.4697	-0.829493
0.5192	-1.471	-0.831324
0.51996	-1.4723	-0.834986
0.52072	-1.4736	-0.840175
0.52148	-1.4749	-0.837733
0.52224	-1.4762	-0.838038
0.523	-1.4775	-0.842311
0.52376	-1.4788	-0.837123
0.52452	-1.4801	-0.837123
0.52528	-1.4814	-0.836207
0.52604	-1.4827	-0.837733
0.5268	-1.484	-0.836512
0.52756	-1.4853	-0.83224
0.52832	-1.4866	-0.832545
0.52908	-1.4879	-0.833155
0.52984	-1.4892	-0.836207
0.5306	-1.4905	-0.836512
0.53136	-1.4918	-0.834071
0.53212	-1.4931	-0.835902
0.53288	-1.4944	-0.835902
0.53364	-1.4957	-0.827357
0.5344	-1.497	-0.824
0.53516	-1.4983	-0.829493
0.53592	-1.4996	-0.831324
0.53668	-1.5009	-0.835597
0.53744	-1.5022	-0.831629
0.5382	-1.5035	-0.830714
0.53896	-1.5048	-0.830409
0.53972	-1.5061	-0.826746
0.54048	-1.5074	-0.824305
0.54124	-1.5087	-0.819422
0.542	-1.51	-0.813318
0.54276	-1.5113	-0.814234
0.54352	-1.5126	-0.813318
0.54428	-1.5139	-0.815149
0.54504	-1.5152	-0.815455
0.5458	-1.5165	-0.817591
0.54656	-1.5178	-0.809961
0.54732	-1.5191	-0.809046
0.54808	-1.5204	-0.810266
0.54884	-1.5217	-0.805078
0.5496	-1.523	-0.804773
0.55036	-1.5243	-0.802942
0.55112	-1.5256	-0.798059
0.55188	-1.5269	-0.798364
0.55264	-1.5282	-0.797449
0.5534	-1.5295	-0.792261
0.55416	-1.5308	-0.790124
0.55492	-1.5321	-0.787378
0.55568	-1.5334	-0.784326
0.55644	-1.5347	-0.78341
0.5572	-1.536	-0.785241
0.55796	-1.5373	-0.780663
0.55872	-1.5386	-0.776086
0.55948	-1.5399	-0.780663
0.56024	-1.5412	-0.771508
0.561	-1.5425	-0.764794
0.56176	-1.5438	-0.762658
0.56252	-1.5451	-0.760521
0.56328	-1.5464	-0.756249
0.56404	-1.5477	-0.752892
0.5648	-1.549	-0.750145
0.56556	-1.5503	-0.745872
0.56632	-1.5516	-0.743126
0.56708	-1.5529	-0.742515
0.56784	-1.5542	-0.73397
0.5686	-1.5555	-0.732749
0.56936	-1.5568	-0.728477
0.57012	-1.5581	-0.724509
0.57088	-1.5594	-0.721763
0.57164	-1.5607	-0.715964
0.5724	-1.562	-0.711997
0.57316	-1.5633	-0.707724
0.57392	-1.5646	-0.698264
0.57468	-1.5659	-0.696432
0.57544	-1.5672	-0.689413
0.5762	-1.5685	-0.688803
0.57696	-1.5698	-0.684835
0.57772	-1.5711	-0.679037
0.57848	-1.5724	-0.674459
0.57924	-1.5737	-0.670797
0.58	-1.575	-0.662862
0.58076	-1.5763	-0.658895
0.58152	-1.5776	-0.65157
0.58228	-1.5789	-0.643941
0.58304	-1.5802	-0.640584
0.5838	-1.5815	-0.631123
0.58456	-1.5828	-0.625935
0.58532	-1.5841	-0.618
0.58608	-1.5854	-0.607318
0.58684	-1.5867	-0.599384
0.5876	-1.588	-0.596942
0.58836	-1.5893	-0.592364
0.58912	-1.5906	-0.585955
0.58988	-1.5919	-0.577715
0.59064	-1.5932	-0.570391
0.5914	-1.5945	-0.564287
0.59216	-1.5958	-0.556352
0.59292	-1.5971	-0.551775
0.59368	-1.5984	-0.545366
0.59444	-1.5997	-0.541093
0.5952	-1.601	-0.532853
0.59596	-1.6023	-0.524918
0.59672	-1.6036	-0.518204
0.59748	-1.6049	-0.511185
0.59824	-1.6062	-0.502945
0.599	-1.6075	-0.492874
0.59976	-1.6088	-0.482803
0.60052	-1.6101	-0.474563
0.60128	-1.6114	-0.464492
0.60204	-1.6127	-0.453505
0.6028	-1.614	-0.442518
0.60356	-1.6153	-0.433363
0.60432	-1.6166	-0.425733
0.60508	-1.6179	-0.415967
0.60584	-1.6192	-0.405896
0.6066	-1.6205	-0.396741
0.60736	-1.6218	-0.38667
0.60812	-1.6231	-0.374462
0.60888	-1.6244	-0.364696
0.60964	-1.6257	-0.352489
0.6104	-1.627	-0.341502
0.61116	-1.6283	-0.330515
0.61192	-1.6296	-0.318613
0.61268	-1.6309	-0.307016
0.61344	-1.6322	-0.29725
0.6142	-1.6335	-0.285958
0.61496	-1.6348	-0.275582
0.61572	-1.6361	-0.26307
0.61648	-1.6374	-0.251778
0.61724	-1.6387	-0.240486
0.618	-1.64	-0.228584
0.61876	-1.6413	-0.217292
0.61952	-1.6426	-0.20661
0.62028	-1.6439	-0.194708
0.62104	-1.6452	-0.184637
0.6218	-1.6465	-0.172124
0.62256	-1.6478	-0.161748
0.62332	-1.6491	-0.149846
0.62408	-1.6504	-0.13947
0.62484	-1.6517	-0.128178
0.6256	-1.653	-0.11536
0.62636	-1.6543	-0.104678
0.62712	-1.6556	-0.0933866
0.62788	-1.6569	-0.0814844
0.62864	-1.6582	-0.0695822
0.6294	-1.6595	-0.0582904
0.63016	-1.6608	-0.0469985
0.63092	-1.6621	-0.0357067
0.63168	-1.6634	-0.0231941
0.63244	-1.6647	-0.0112918
0.6332	-1.666	0.000305185
0.63396	-1.6673	0.0125126
0.63472	-1.6686	0.0253304
0.63548	-1.6699	0.0375378
